X,y,q
-13.020078589492218,-18.15612620138058,1.0
-13.01807300541551,-18.15612620138058,1.0
-13.016067421338802,-18.15612620138058,1.0
-13.014061837262094,-18.15612620138058,1.0
-13.012056253185385,-18.15612620138058,1.0
-13.010050669108677,-18.15612620138058,1.0
-13.00804508503197,-18.15612620138058,1.0
-13.00603950095526,-18.15612620138058,1.0
-13.004033916878553,-18.15612620138058,1.0
-13.002028332801846,-18.15612620138058,1.0
-13.000022748725137,-18.15612620138058,1.0
-12.998017164648429,-18.15612620138058,1.0
-12.996011580571722,-18.15612620138058,1.0
-12.994005996495012,-18.15612620138058,1.0
-12.992000412418305,-18.15612620138058,1.0
-12.989994828341597,-18.15612620138058,1.0
-12.987989244264888,-18.15612620138058,1.0
-12.98598366018818,-18.15612620138058,1.0
-12.983978076111473,-18.15612620138058,1.0
-12.981972492034766,-18.15612620138058,1.0
-12.979966907958056,-18.15612620138058,1.0
-12.977961323881349,-18.15612620138058,1.0
-12.975955739804641,-18.15612620138058,1.0
-12.973950155727932,-18.15612620138058,1.0
-12.971944571651225,-18.15612620138058,1.0
-12.969938987574517,-18.15612620138058,1.0
-12.967933403497808,-18.15612620138058,1.0
-12.9659278194211,-18.15612620138058,1.0
-12.963922235344393,-18.15612620138058,1.0
-12.961916651267684,-18.15612620138058,1.0
-12.959911067190976,-18.15612620138058,1.0
-12.957905483114269,-18.15612620138058,1.0
-12.95589989903756,-18.15612620138058,1.0
-12.953894314960852,-18.15612620138058,1.0
-12.951888730884145,-18.15612620138058,1.0
-12.949883146807435,-18.15612620138058,1.0
-12.947877562730728,-18.15612620138058,1.0
-12.94587197865402,-18.15612620138058,1.0
-12.943866394577311,-18.15612620138058,1.0
-12.941860810500604,-18.15612620138058,1.0
-12.939855226423896,-18.15612620138058,1.0
-12.937849642347187,-18.15612620138058,1.0
-12.93584405827048,-18.15612620138058,1.0
-12.933838474193772,-18.15612620138058,1.0
-12.931832890117064,-18.15612620138058,1.0
-12.929827306040355,-18.15612620138058,1.0
-12.927821721963648,-18.15612620138058,1.0
-12.92581613788694,-18.15612620138058,1.0
-12.923810553810231,-18.15612620138058,1.0
-12.921804969733524,-18.15612620138058,1.0
-12.919799385656816,-18.15612620138058,1.0
-12.917793801580107,-18.15612620138058,1.0
-12.9157882175034,-18.15612620138058,1.0
-12.913782633426692,-18.15612620138058,1.0
-12.911777049349983,-18.15612620138058,1.0
-12.909771465273275,-18.15612620138058,1.0
-12.907765881196568,-18.15612620138058,1.0
-12.905760297119858,-18.15612620138058,1.0
-12.903754713043151,-18.15612620138058,1.0
-12.901749128966443,-18.15612620138058,1.0
-12.899743544889734,-18.15612620138058,1.0
-12.897737960813027,-18.15612620138058,1.0
-12.89573237673632,-18.15612620138058,1.0
-12.89372679265961,-18.15612620138058,1.0
-12.891721208582902,-18.15612620138058,1.0
-12.889715624506195,-18.15612620138058,1.0
-12.887710040429486,-18.15612620138058,1.0
-12.885704456352778,-18.15612620138058,1.0
-12.88369887227607,-18.15612620138058,1.0
-12.881693288199362,-18.15612620138058,1.0
-12.879687704122654,-18.15612620138058,1.0
-12.877682120045947,-18.15612620138058,1.0
-12.875676535969239,-18.15612620138058,1.0
-12.87367095189253,-18.15612620138058,1.0
-12.871665367815822,-18.15612620138058,1.0
-12.869659783739115,-18.15612620138058,1.0
-12.867654199662406,-18.15612620138058,1.0
-12.865648615585698,-18.15612620138058,1.0
-12.86364303150899,-18.15612620138058,1.0
-12.861637447432281,-18.15612620138058,1.0
-12.859631863355574,-18.15612620138058,1.0
-12.857626279278866,-18.15612620138058,1.0
-12.855620695202157,-18.15612620138058,1.0
-12.85361511112545,-18.15612620138058,1.0
-12.851609527048742,-18.15612620138058,1.0
-12.849603942972033,-18.15612620138058,1.0
-12.847598358895326,-18.15612620138058,1.0
-12.845592774818618,-18.15612620138058,1.0
-12.843587190741909,-18.15612620138058,1.0
-12.841581606665201,-18.15612620138058,1.0
-12.839576022588494,-18.15612620138058,1.0
-12.837570438511785,-18.15612620138058,1.0
-12.835564854435077,-18.15612620138058,1.0
-12.83355927035837,-18.15612620138058,1.0
-12.83155368628166,-18.15612620138058,1.0
-12.829548102204953,-18.15612620138058,1.0
-12.827542518128245,-18.15612620138058,1.0
-12.825536934051538,-18.15612620138058,1.0
-12.823531349974829,-18.15612620138058,1.0
-12.821525765898121,-18.15612620138058,1.0
-12.819520181821414,-18.15612620138058,1.0
-12.817514597744704,-18.15612620138058,1.0
-12.815509013667997,-18.15612620138058,1.0
-12.81350342959129,-18.15612620138058,1.0
-12.81149784551458,-18.15612620138058,1.0
-12.809492261437873,-18.15612620138058,1.0
-12.807486677361165,-18.15612620138058,1.0
-12.805481093284456,-18.15612620138058,1.0
-12.803475509207749,-18.15612620138058,1.0
-12.801469925131041,-18.15612620138058,1.0
-12.799464341054332,-18.15612620138058,1.0
-12.797458756977624,-18.15612620138058,1.0
-12.795453172900917,-18.15612620138058,1.0
-12.793447588824208,-18.15612620138058,1.0
-12.7914420047475,-18.15612620138058,1.0
-12.789436420670793,-18.15612620138058,1.0
-12.787430836594083,-18.15612620138058,1.0
-12.785425252517376,-18.15612620138058,1.0
-12.783419668440668,-18.15612620138058,1.0
-12.78141408436396,-18.15612620138058,1.0
-12.779408500287252,-18.15612620138058,1.0
-12.777402916210544,-18.15612620138058,1.0
-12.775397332133835,-18.15612620138058,1.0
-12.773391748057128,-18.15612620138058,1.0
-12.77138616398042,-18.15612620138058,1.0
-12.76938057990371,-18.15612620138058,1.0
